n_atr_1d_6,cl_9_1.0,cl_12_1.0,cl_18_2.0,cl_9_3.0,ind_vjrc_36_1,ind_per_x9_1.0,prc_u_tc_cns,tas_u_tc,c_tc_mn_24,c_tc_mn_24_sld,c_pcns,vr_s_t_36,mx_ltc_36,ipc_t6
0,1,1,0,0,0,1,0.022057109,0.022057109,2,0,2,0.0,12874.39,0.022947805
0,0,0,0,0,0,1,0.213015355,0.213015355,5,5,0,-0.486171986,38991.79,0.015987324
0,0,0,0,0,0,1,0.803931705,0.803931705,1,0,2,0.0,7157.82,0.015987324
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.6104675,0.0,0.039748545
1,0,0,0,0,0,0,0.100656962,0.100656962,1,0,0,0.0,15800.0,0.027324439
0,0,0,0,0,0,1,0.02940566,0.02940566,4,1,0,-0.258692477,14461.81,0.043979285
0,0,0,0,0,0,0,0.0,0.0,0,0,2,-0.23611084,3752.22,0.03234882
0,0,0,0,0,1,0,0.0,0.0,4,0,0,-1.0,21000.0,0.033416187
0,0,0,0,0,0,0,0.924944737,0.924944737,0,0,1,0.0,3800.0,0.01429334
0,0,0,0,0,0,0,0.0992,-1.0,0,0,2,-0.06748795,0.0,0.021925232
0,0,0,0,0,0,1,0.196288889,0.196288889,2,1,1,-0.882989083,20095.97,0.018195539
0,0,0,0,0,0,1,0.399047919,0.399047919,0,0,2,-0.201481523,12530.45,0.033416187
0,0,0,0,0,0,0,0.0992,-1.0,0,0,2,0.0,0.0,0.022947805
0,0,0,0,0,0,1,0.417298947,0.417298947,1,0,0,0.0,30100.0,0.013648559
0,0,0,0,0,0,1,0.270915654,0.270915654,3,4,1,-0.307993198,40905.84,0.03234882
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.015987324
0,0,0,0,0,0,1,0.0992,-1.0,0,0,2,-0.308239626,4341.99,0.01429334
0,0,0,0,0,0,1,0.760766517,0.760766517,1,2,1,-0.109783968,30083.08,0.032546067
0,0,0,0,0,0,1,0.867496377,0.867496377,2,1,1,0.0,8971.0,0.032546067
0,0,0,0,0,0,0,0.15914541,0.15914541,1,0,0,0.0,10208.4,0.018195539
0,0,0,0,0,0,0,0.0,0.0,0,0,0,-1.0,7000.0,0.019000916
0,0,0,0,0,1,1,0.095269241,0.095269241,0,0,0,-0.939883882,5099.99,0.022947805
